"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BANKATI","GANGORI","3153011035/RC/958486255823750665","9586","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=GANGORI&panchayat_code=3153011035&fin_year=2025-2026&source=&work_code=3153011035/RC/958486255823750665&msr_no=9586&AttendanceDate=27/03/2026&Digest=xTtr6Kp3aWYE7DFpx8qFyw",9
"BASTI","BANKATI","KHAROHA","3153011053/RC/958486255823580852","9759","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=KHAROHA&panchayat_code=3153011053&fin_year=2025-2026&source=&work_code=3153011053/RC/958486255823580852&msr_no=9759&AttendanceDate=27/03/2026&Digest=6IIXru78RcvuTR6Q9KuCpw",10
"BASTI","BANKATI","KHARWANIA","3153011054/FP/958486255823613677","9313","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=KHARWANIA&panchayat_code=3153011054&fin_year=2025-2026&source=&work_code=3153011054/FP/958486255823613677&msr_no=9313&AttendanceDate=27/03/2026&Digest=OBzuDRMAtzpgsiByC1H9vg",10
"BASTI","BANKATI","KHORIA","3153011056/LD/YD/958486255824966387","9306","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=KHORIA&panchayat_code=3153011056&fin_year=2025-2026&source=&work_code=3153011056/LD/YD/958486255824966387&msr_no=9306&AttendanceDate=27/03/2026&Digest=dY94ibyod8VrBztsAJI6zA",8
"BASTI","BANKATI","KHORIA","3153011056/RC/YD/958486255823681583","9450","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=KHORIA&panchayat_code=3153011056&fin_year=2025-2026&source=&work_code=3153011056/RC/YD/958486255823681583&msr_no=9450&AttendanceDate=27/03/2026&Digest=X1+GGF4Mm2Rc/MHZtsyXUQ",10
"BASTI","BANKATI","KURIYAR","3153011060/WC/958486255824235444","9357","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=KURIYAR&panchayat_code=3153011060&fin_year=2025-2026&source=&work_code=3153011060/WC/958486255824235444&msr_no=9357&AttendanceDate=27/03/2026&Digest=nAsCj9oVD59ZjDS1PFuGhA",7
"BASTI","BANKATI","KURIYAR","3153011060/WC/958486255824235444","9360","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=KURIYAR&panchayat_code=3153011060&fin_year=2025-2026&source=&work_code=3153011060/WC/958486255824235444&msr_no=9360&AttendanceDate=27/03/2026&Digest=CSAtHyNA6i/Pq4hm1OCOcw",6
"BASTI","BANKATI","MAKDUMPUR","3153011062/IC/958486255823692433","9419","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=MAKDUMPUR&panchayat_code=3153011062&fin_year=2025-2026&source=&work_code=3153011062/IC/958486255823692433&msr_no=9419&AttendanceDate=27/03/2026&Digest=KXuILpELS7zXZEG2TZcwUw",4
"BASTI","BANKATI","PADIYAPAR","3153011072/RC/958486255823746773","9661","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=PADIYAPAR&panchayat_code=3153011072&fin_year=2025-2026&source=&work_code=3153011072/RC/958486255823746773&msr_no=9661&AttendanceDate=27/03/2026&Digest=EIMqGdkSipW0Dt11Rk/L1g",6
"BASTI","BANKATI","PIPRA SUKRAULI","3153011099/RC/958486255823744508","9757","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=PIPRA%20SUKRAULI&panchayat_code=3153011099&fin_year=2025-2026&source=&work_code=3153011099/RC/958486255823744508&msr_no=9757&AttendanceDate=27/03/2026&Digest=+dpCWWfxMawKy5MHGPAv4Q",7
